Name,ra,dec,i,PA,Vsys,D,rmax,dv
cvnidwa,189.6633333333333,32.76138888888889,66.5,48.4,306.2,3.6,2.6,1.3
ddo43,112.07374999999999,40.768972222222224,40.6,294.1,355.4,7.8,4.2,2.6
ddo46,115.35958333333333,40.110416666666666,27.9,274.1,360.8,6.1,3.55,2.6
ddo47,115.48041666666666,16.801972222222222,45.5,311.6,270.7,5.2,7.75,2.6
ddo50,124.76541666666664,70.7235,49.7,175.7,156.5,3.4,9.85,2.6
ddo52,127.11833333333333,41.85736111111111,43.0,8.2,399.0,10.3,5.45,2.6
ddo53,128.52666666666664,66.17997222222223,27.0,131.6,18.6,3.6,1.60,2.6
ddo70,150.00374999999997,5.336916666666666,50.0,44.5,303.5,1.3,2.0,1.3
ddo87,162.39541666666662,65.52997222222223,55.5,235.1,340.0,7.7,7.40,2.6
ddo101,178.91291666666663,31.519416666666665,51.0,287.4,589.4,6.4,2.35,2.6
ddo126,186.77749999999997,37.13775,65.0,138.0,219.4,4.9,4.0,1.3
ddo133,188.22999999999996,31.53863888888889,43.4,359.6,330.7,3.5,3.5,2.6
ddo154,193.52374999999998,27.152749999999997,68.2,226.3,372.0,3.7,7.9,2.6
ddo168,198.61374999999995,45.927027777777774,46.5,275.5,192.6,4.3,4.0,2.6
ddo210,311.7149999999999,-12.849361111111111,66.7,65.0,-139.5,0.9,0.35,1.3
ddo216,352.1445833333333,14.748944444444444,63.7,133.6,-186.0,1.1,1.15,1.3
f564_v3,135725,20.07397222222222,56.5,12.5,481.0,8.7,3.75,1.3
ic10,5.0787499999999985,59.29719444444444,47.0,55.7,-348.0,0.7,0.55,2.6
ic1613,16.206666666666663,2.13725,48.0,73.7,-232.2,0.7,2.75,2.6
ngc1569,67.69249999999998,64.85286111111111,69.1,122.5,-85.4,3.4,3.2,2.6
ngc2366,112.2225,69.21377777777778,63.0,38.7,103.5,3.4,8.1,2.6
ngc3738,173.94541666666666,54.52911111111111,22.6,292.2,235.8,4.9,1.75,2.6
ugc8508,202.6870833333333,54909,82.5,126.1,60.5,2.6,1.9,1.3
wlm,0.49958333333333327,-15.465888888888887,74.0,174.5,-122.3,1.0,3.4,2.6
haro29,186.57666666666665,48.49455555555556,61.2,214.5,279.3,5.9,5.05,1.3
haro36,191.73583333333335,51.61313888888889,70.0,248.4,499.3,9.3,3.2,2.6
